FileName,Noisy_SNR,Enhanced_SNR,Improvement
sp01.wav,4.33014610208744,-5.96010262694895,-10.2902487290364
sp02.wav,4.33314695876034,-5.8004398884006,-10.1335868471609
sp03.wav,4.45017164931732,-1.60133265086743,-6.05150430018475
sp04.wav,4.53951913959333,-6.4700678215992,-11.0095869611925
sp05.wav,4.32167748210883,-4.08134384565589,-8.40302132776472
sp06.wav,4.24822543297084,-3.77043252057678,-8.01865795354762
sp07.wav,4.53690712227096,-2.5256206153938,-7.06252773766476
sp08.wav,4.35560516508581,-2.25315138563981,-6.60875655072562
sp09.wav,4.63565978096405,-6.63652020332261,-11.2721799842867
sp10.wav,4.33887483417717,-1.80228643042342,-6.14116126460059
sp11.wav,4.40656907782369,1.83955980708405,-2.56700927073965
sp12.wav,4.70163740186381,-7.46923610015436,-12.1708735020182
sp13.wav,3.94897785332819,-4.77771414551927,-8.72669199884746
sp14.wav,4.61089389612146,3.12936099890928,-1.48153289721218
sp15.wav,4.68672245581461,-6.64102991267636,-11.327752368491
sp16.wav,3.87546373574845,1.45677417711584,-2.41868955863261
sp17.wav,4.54909090484433,-1.94918355704031,-6.49827446188464
sp18.wav,4.5987458940258,-6.23488572419687,-10.8336316182227
sp19.wav,4.20278112624741,-0.707132819306558,-4.90991394555397
sp20.wav,4.51095523354483,-3.22907698036976,-7.7400322139146
sp21.wav,4.32621319158927,-6.96361576025965,-11.2898289518489
sp22.wav,4.48654199436874,-8.98017446975316,-13.4667164641219
sp23.wav,4.29664889044251,-3.74469571730654,-8.04134460774905
sp24.wav,4.59150638410505,-7.82428276415569,-12.4157891482607
sp25.wav,4.67076625410009,-4.67424135683474,-9.34500761093483
sp26.wav,4.51414606903844,-1.66638009384365,-6.18052616288208
sp27.wav,4.54597298732001,-4.19080648956902,-8.73677947688903
sp28.wav,4.63399780419253,0.995873312369947,-3.63812449182258
sp29.wav,4.4912307473974,2.6011486368873,-1.89008211051011
sp30.wav,4.61964615338688,-2.10304503016716,-6.72269118355405
sp01.wav,4.33014610208744,-5.96010262694895,-10.2902487290364
sp02.wav,4.33314695876034,-5.8004398884006,-10.1335868471609
sp03.wav,4.45017164931732,-1.60133265086743,-6.05150430018475
sp04.wav,4.53951913959333,-6.4700678215992,-11.0095869611925
sp05.wav,4.32167748210883,-4.08134384565589,-8.40302132776472
sp06.wav,4.24822543297084,-3.77043252057678,-8.01865795354762
sp07.wav,4.53690712227096,-2.5256206153938,-7.06252773766476
sp08.wav,4.35560516508581,-2.25315138563981,-6.60875655072562
sp09.wav,4.63565978096405,-6.63652020332261,-11.2721799842867
sp10.wav,4.33887483417717,-1.80228643042342,-6.14116126460059
sp11.wav,4.40656907782369,1.83955980708405,-2.56700927073965
sp12.wav,4.70163740186381,-7.46923610015436,-12.1708735020182
sp13.wav,3.94897785332819,-4.77771414551927,-8.72669199884746
sp14.wav,4.61089389612146,3.12936099890928,-1.48153289721218
sp15.wav,4.68672245581461,-6.64102991267636,-11.327752368491
sp16.wav,3.87546373574845,1.45677417711584,-2.41868955863261
sp17.wav,4.54909090484433,-1.94918355704031,-6.49827446188464
sp18.wav,4.5987458940258,-6.23488572419687,-10.8336316182227
sp19.wav,4.20278112624741,-0.707132819306558,-4.90991394555397
sp20.wav,4.51095523354483,-3.22907698036976,-7.7400322139146
sp21.wav,4.32621319158927,-6.96361576025965,-11.2898289518489
sp22.wav,4.48654199436874,-8.98017446975316,-13.4667164641219
sp23.wav,4.29664889044251,-3.74469571730654,-8.04134460774905
sp24.wav,4.59150638410505,-7.82428276415569,-12.4157891482607
sp25.wav,4.67076625410009,-4.67424135683474,-9.34500761093483
sp26.wav,4.51414606903844,-1.66638009384365,-6.18052616288208
sp27.wav,4.54597298732001,-4.19080648956902,-8.73677947688903
sp28.wav,4.63399780419253,0.995873312369947,-3.63812449182258
sp29.wav,4.4912307473974,2.6011486368873,-1.89008211051011
sp30.wav,4.61964615338688,-2.10304503016716,-6.72269118355405
